hidden_size,lr,momentum,decay,hasEarlyStopped,10FoldCV-Loss,10FoldCV-Acc
1,0.01,0.7,0.1,34,0.662,0.625
1,0.01,0.8,0.1,40,0.662,0.625
1,0.01,0.9,0.1,16,0.661,0.625
1,0.001,0.7,0.1,150,0.736,0.625
1,0.001,0.8,0.1,143,0.674,0.625
1,0.001,0.9,0.1,107,0.664,0.625
1,0.0001,0.7,0.1,150,3.351,0.591
1,0.0001,0.8,0.1,150,2.968,0.61
1,0.0001,0.9,0.1,150,1.868,0.628
2,0.01,0.7,0.1,45,0.662,0.625
2,0.01,0.8,0.1,29,0.661,0.625
2,0.01,0.9,0.1,19,0.661,0.625
2,0.001,0.7,0.1,150,0.761,0.625
2,0.001,0.8,0.1,150,0.675,0.625
2,0.001,0.9,0.1,100,0.663,0.625
2,0.0001,0.7,0.1,150,4.246,0.597
2,0.0001,0.8,0.1,150,3.581,0.62
2,0.0001,0.9,0.1,150,2.288,0.626
3,0.01,0.7,0.1,48,0.662,0.625
3,0.01,0.8,0.1,35,0.661,0.625
3,0.01,0.9,0.1,16,0.661,0.625
3,0.001,0.7,0.1,150,0.786,0.625
3,0.001,0.8,0.1,150,0.678,0.625
3,0.001,0.9,0.1,114,0.663,0.625
3,0.0001,0.7,0.1,150,5.134,0.614
3,0.0001,0.8,0.1,150,4.356,0.624
3,0.0001,0.9,0.1,150,2.668,0.625
1,0.01,0.7,0.3,21,0.661,0.625
1,0.01,0.8,0.3,19,0.661,0.625
1,0.01,0.9,0.3,16,0.661,0.625
1,0.001,0.7,0.3,115,0.663,0.625
1,0.001,0.8,0.3,94,0.662,0.625
1,0.001,0.9,0.3,46,0.662,0.625
1,0.0001,0.7,0.3,150,4.379,0.607
1,0.0001,0.8,0.3,150,2.674,0.623
1,0.0001,0.9,0.3,150,0.995,0.625
2,0.01,0.7,0.3,21,0.661,0.625
2,0.01,0.8,0.3,17,0.661,0.625
2,0.01,0.9,0.3,12,0.661,0.625
2,0.001,0.7,0.3,131,0.663,0.625
2,0.001,0.8,0.3,74,0.662,0.625
2,0.001,0.9,0.3,46,0.662,0.625
2,0.0001,0.7,0.3,150,5.52,0.622
2,0.0001,0.8,0.3,150,3.352,0.625
2,0.0001,0.9,0.3,150,1.094,0.625
3,0.01,0.7,0.3,18,0.661,0.625
3,0.01,0.8,0.3,22,0.661,0.625
3,0.01,0.9,0.3,18,0.661,0.625
3,0.001,0.7,0.3,103,0.664,0.625
3,0.001,0.8,0.3,85,0.663,0.625
3,0.001,0.9,0.3,51,0.662,0.625
3,0.0001,0.7,0.3,150,6.757,0.625
3,0.0001,0.8,0.3,150,4.014,0.625
3,0.0001,0.9,0.3,150,1.202,0.625
1,0.01,0.7,0.5,14,0.661,0.625
1,0.01,0.8,0.5,12,0.661,0.625
1,0.01,0.9,0.5,18,0.661,0.625
1,0.001,0.7,0.5,80,0.662,0.625
1,0.001,0.8,0.5,57,0.662,0.625
1,0.001,0.9,0.5,42,0.661,0.625
1,0.0001,0.7,0.5,150,3.432,0.623
1,0.0001,0.8,0.5,150,1.672,0.625
1,0.0001,0.9,0.5,150,0.712,0.625
2,0.01,0.7,0.5,16,0.661,0.625
2,0.01,0.8,0.5,12,0.661,0.625
2,0.01,0.9,0.5,15,0.661,0.625
2,0.001,0.7,0.5,81,0.662,0.625
2,0.001,0.8,0.5,57,0.662,0.625
2,0.001,0.9,0.5,38,0.661,0.625
2,0.0001,0.7,0.5,150,4.339,0.625
2,0.0001,0.8,0.5,150,2.002,0.625
2,0.0001,0.9,0.5,150,0.725,0.625
3,0.01,0.7,0.5,15,0.661,0.625
3,0.01,0.8,0.5,14,0.661,0.625
3,0.01,0.9,0.5,24,0.661,0.625
3,0.001,0.7,0.5,84,0.662,0.625
3,0.001,0.8,0.5,67,0.662,0.625
3,0.001,0.9,0.5,38,0.661,0.625
3,0.0001,0.7,0.5,150,5.13,0.625
3,0.0001,0.8,0.5,150,2.307,0.625
3,0.0001,0.9,0.5,150,0.741,0.625
