Project,Loss,Accuracy,F1,Auc,Precision,Recall
accumulo,0.5690081941670385,69.94252873563218,0.4025998142989787,0.5896244538575102,0.7174056915949703,0.2798141455859577
ambari,0.5672387755278385,69.92121212121212,0.545996975765254,0.5981598338583861,0.4440898816646722,0.7086029489763446
atlas,0.5724945762118355,69.75409836065573,0.5480014942099364,0.6317486638765805,0.6732446076181735,0.46204724409448816
aurora,0.5680021630466313,70.1767955801105,0.5338116115318188,0.6041896110983315,0.6621621621621622,0.4471399955486312
batik,0.5719049441945422,69.72527472527473,0.6347619642634013,0.6705165611334134,0.8360763660302831,0.5115810674723061
cocoon,0.5746450968560456,69.5028901734104,0.5167676422902979,0.6434481671750523,0.4781304279172588,0.5621982918678055
commons-bcel,0.5744439430415311,69.45989304812834,0.25217391304347825,0.5506468461824635,0.2907268170426065,0.22264875239923224
commons-beanutils,0.5751308969994808,69.4627659574468,0.5937749401436552,0.6987009269327478,0.6654740608228981,0.5360230547550432
commons-cli,0.5734163844396197,69.67195767195767,0.37837837837837834,0.593773646884917,0.68,0.2621145374449339
commons-codec,0.5745585130497733,69.54545454545455,0.35809523809523813,0.5942612494344688,0.45742092457420924,0.2942097026604069
commons-collections,0.5741273646797639,69.48087431693989,0.46876613319566335,0.6370014918347973,0.47789473684210526,0.45997973657548125
commons-configuration,0.5747702849877847,69.42162162162163,0.5215490318550905,0.6481266959924349,0.5661016949152542,0.4834973943254198
commons-daemon,0.5734542589338999,69.55026455026454,0.4477611940298507,0.65177304964539,0.6818181818181818,0.3333333333333333
commons-dbcp,0.5720130272449986,69.59677419354838,0.25802615933412604,0.5679455545076364,0.8821138211382114,0.1511142061281337
commons-dbutils,0.5738508389109657,69.57671957671958,0.3804347826086956,0.626122230458776,0.5,0.30701754385964913
commons-digester,0.5744906632020512,69.55080213903743,0.5553662691652469,0.7182310883648174,0.5406301824212272,0.5709281961471103
commons-exec,0.5721589639073327,69.71957671957672,0.28160919540229884,0.5738192515116849,0.8448275862068966,0.16896551724137931
commons-fileupload,0.5748864702446751,69.45502645502646,0.5486381322957198,0.688179347826087,0.6077586206896551,0.5
commons-io,0.5748151120960071,69.54838709677419,0.40867579908675805,0.6156942073384626,0.6729323308270677,0.2934426229508197
commons-jelly,0.5726728375582771,69.60427807486631,0.5704067948144838,0.709114029197041,0.45571428571428574,0.7622461170848268
commons-jexl,0.571559301034652,69.81818181818181,0.36794171220400723,0.5824407227880597,0.679372197309417,0.25228975853455454
commons-jxpath,0.5724616165829715,69.6984126984127,0.6099773242630385,0.6916630011047052,0.5615866388308977,0.6674937965260546
commons-net,0.5754489194263112,69.3903743315508,0.39199332777314433,0.6173513083511052,0.458984375,0.3420669577874818
commons-ognl,0.5736626828158343,69.51322751322752,0.18181818181818182,0.5398363033568172,0.6666666666666666,0.10526315789473684
commons-validator,0.574781654045937,69.50531914893617,0.554410080183276,0.6858066224340404,0.7267267267267268,0.44814814814814813
commons-vfs,0.5741879007508678,69.56989247311827,0.5811500510377678,0.6782816762824814,0.7122602168473728,0.4908045977011494
felix,0.5690681783549757,69.855421686747,0.5440703409822003,0.6280868894320638,0.5641538803646876,0.5253675709256574
httpcomponents-client,0.5719555622964932,69.68508287292818,0.37636659688299606,0.5804948936801967,0.46520989074180563,0.316015625
httpcomponents-core,0.5730833391237525,69.56983240223464,0.23580387685290763,0.54228773514172,0.5068627450980392,0.1536404160475483
mina-sshd,0.5728309131834818,69.65760869565217,0.49440488301119023,0.599335166040779,0.36596385542168675,0.7617554858934169
santuario-java,0.5725006029412553,69.67027027027027,0.448666870977628,0.6090030313267785,0.6740331491712708,0.3362425355994488
zookeeper,0.5719901629396387,69.8,0.6119888475836431,0.6505674232309747,0.6085951940850277,0.6154205607476636
